eps,init_id,final_loss,final_theta_dist,theta1,theta2
0.1,3,0.007174622733145952,0.47056570649147034,1.3695619106292725,1.291300654411316
0.1,4,0.007174622733145952,0.4702368676662445,1.3691421747207642,1.2913018465042114
0.1,5,0.007174838799983263,0.46145913004875183,1.3589916229248047,1.289947509765625
0.1,6,0.007334411144256592,0.22172676026821136,1.077764868736267,1.2076424360275269
0.1,7,0.007175995036959648,0.4498095214366913,1.3427053689956665,1.2913445234298706
0.1,8,0.007174622733145952,0.4706372618675232,1.3696532249450684,1.2913004159927368
0.1,9,0.007199830375611782,0.37107500433921814,1.253785252571106,1.2707207202911377
0.1,10,0.007174622733145952,0.4706379175186157,1.3696539402008057,1.2913005352020264
0.1,11,0.0071746474131941795,0.46784013509750366,1.3660821914672852,1.291304349899292
0.1,12,0.007174629718065262,0.4691614508628845,1.3677693605422974,1.2913042306900024
0.1,13,0.007177798077464104,0.3725564479827881,1.3696482181549072,1.0464597940444946
0.1,14,0.007191179320216179,0.39895641803741455,1.275752067565918,1.2883175611495972
0.1,15,0.0071756052784621716,0.45297184586524963,1.3468610048294067,1.2913261651992798
0.1,16,0.007194196805357933,0.3775276839733124,1.2676188945770264,1.2662842273712158
0.1,17,0.007207469083368778,0.24889707565307617,1.2436217069625854,1.0509727001190186
0.1,18,0.007185353431850672,0.4139960706233978,1.294092059135437,1.291380524635315
0.1,19,0.007174622733145952,0.4706375300884247,1.3696534633636475,1.2913005352020264
