theta1,theta2,J,J_eps
-2.387755102040816,-1.2857142857142858,0.06346840411424637,0.02987397275865078
-2.387755102040816,-1.163265306122449,0.06340032815933228,0.029850732535123825
-2.387755102040816,-1.0408163265306123,0.06333605200052261,0.029828596860170364
-2.387755102040816,-0.9183673469387754,0.06327558308839798,0.029807573184370995
-2.387755102040816,-0.795918367346939,0.06321889907121658,0.029787659645080566
-2.387755102040816,-0.6734693877551021,0.06316601485013962,0.02976885437965393
-2.387755102040816,-0.5510204081632653,0.06311692297458649,0.029751159250736237
-2.387755102040816,-0.4285714285714288,0.06307163834571838,0.029734572395682335
-2.387755102040816,-0.30612244897959195,0.06303013116121292,0.029719097539782524
-2.387755102040816,-0.18367346938775508,0.06299243122339249,0.029704730957746506
-2.387755102040816,-0.06122448979591866,0.06295852363109589,0.02969146892428398
-2.387755102040816,0.06122448979591821,0.06292841583490372,0.029679320752620697
-2.387755102040816,0.18367346938775508,0.06290210038423538,0.029668280854821205
-2.387755102040816,0.30612244897959195,0.06287957727909088,0.029658352956175804
-2.387755102040816,0.4285714285714284,0.06286085397005081,0.029649531468749046
-2.387755102040816,0.5510204081632653,0.06284592300653458,0.02964181825518608
-2.387755102040816,0.6734693877551021,0.06283478438854218,0.029635217040777206
-2.387755102040816,0.7959183673469385,0.0628274455666542,0.029629724100232124
-2.387755102040816,0.9183673469387754,0.06282390654087067,0.029625337570905685
-2.387755102040816,1.0408163265306118,0.06282415986061096,0.029622064903378487
-2.387755102040816,1.1632653061224492,0.06282821297645569,0.02961989864706993
-2.387755102040816,1.2857142857142856,0.06283605843782425,0.029618842527270317
-2.387755102040816,1.408163265306122,0.06284770369529724,0.029618900269269943
-2.387755102040816,1.5306122448979593,0.06286314874887466,0.029620062559843063
-2.387755102040816,1.6530612244897958,0.06288240104913712,0.029622336849570274
-2.387755102040816,1.7755102040816322,0.0629054456949234,0.029625723138451576
-2.387755102040816,1.8979591836734695,0.06293229013681412,0.029630213975906372
-2.387755102040816,2.020408163265306,0.06296293437480927,0.02963581681251526
-2.387755102040816,2.1428571428571423,0.06299738585948944,0.029642533510923386
-2.387755102040816,2.2653061224489797,0.06303562968969345,0.029650360345840454
-2.387755102040816,2.387755102040816,0.06307768821716309,0.029659293591976166
-2.387755102040816,2.5102040816326525,0.06312354654073715,0.029669342562556267
-2.387755102040816,2.63265306122449,0.06317320466041565,0.029680496081709862
-2.387755102040816,2.7551020408163263,0.06322667002677917,0.029692767187952995
-2.387755102040816,2.8775510204081627,0.06328394263982773,0.02970615029335022
-2.387755102040816,3.0,0.06334502249956131,0.02972063608467579
-2.2653061224489797,-3.0,0.060389790683984756,0.029110943898558617
-2.2653061224489797,-2.877551020408163,0.060268353670835495,0.02907208912074566
-2.2653061224489797,-2.7551020408163267,0.06015072762966156,0.029034342616796494
-2.2653061224489797,-2.63265306122449,0.06003689765930176,0.028997717425227165
-2.2653061224489797,-2.510204081632653,0.05992688983678818,0.02896220050752163
-2.2653061224489797,-2.387755102040816,0.05982068553566933,0.028927797451615334
-2.2653061224489797,-2.2653061224489797,0.05971828103065491,0.02889450639486313
