label,init_id,final_loss,final_theta_dist,converged,conv_step,theta1_final,theta2_final
smooth_sym + L-BFGS,3,1.9091132841264624e-10,0.000377304560970515,1,1,1.0003756284713745,0.9999644756317139
smooth_sym + L-BFGS,4,9.640979854730336e-12,9.255163604393601e-05,1,1,1.0000841617584229,1.000038504600525
smooth_sym + L-BFGS,5,1.588661840967731e-10,0.0019453006098046899,1,1,0.9999028444290161,1.0019428730010986
smooth_sym + L-BFGS,6,5.11933995195335e-10,0.002881631487980485,1,1,0.9996193051338196,1.0028563737869263
smooth_sym + L-BFGS,7,7.156937369134919e-12,0.0004236216773279011,1,1,0.9999873042106628,1.0004234313964844
smooth_sym + L-BFGS,8,3.909400927981643e-11,0.00017826346447691321,1,1,1.0001697540283203,0.9999455809593201
smooth_sym + L-BFGS,9,2.938094212368014e-11,0.0008587980410084128,1,1,0.9999747276306152,1.0008584260940552
smooth_sym + L-BFGS,10,5.659113368888802e-12,0.0002933089854195714,1,1,1.0000420808792114,0.9997097253799438
smooth_sym + L-BFGS,11,2.6312330092537195e-10,0.00232814927585423,1,1,0.9997982978820801,0.9976806044578552
smooth_sym + L-BFGS,12,4.2146518913765973e-11,0.00026252667885273695,1,1,0.9998266696929932,1.000197172164917
smooth_sym + L-BFGS,13,1.0822477625443278e-13,1.2061364941473585e-05,1,1,0.9999911785125732,0.999991774559021
smooth_sym + L-BFGS,14,2.1555040738419073e-11,0.0007351405220106244,1,1,1.0000221729278564,1.000734806060791
smooth_sym + L-BFGS,15,5.111717715777786e-10,0.0026247743517160416,1,1,0.9995684027671814,0.9974109530448914
smooth_sym + L-BFGS,16,3.752853236504983e-11,0.0009697360801510513,1,1,0.9999706149101257,1.0009692907333374
smooth_sym + L-BFGS,17,4.560798266828314e-11,0.0010737121338024735,1,1,0.9999725222587585,1.0010733604431152
smooth_sym + L-BFGS,18,3.477275975841132e-12,0.00023396735196001828,1,1,0.9999678134918213,0.9997682571411133
smooth_sym + L-BFGS,19,6.872122228912536e-12,9.479237633058801e-05,1,0,1.0000704526901245,1.000063419342041
